country	year	pop	continent	lifeExp	gdpPercap
Gambia	1952	284320	Africa	30	485.2306591
Gambia	1957	323150	Africa	32.065	520.9267111
Gambia	1962	374020	Africa	33.896	599.650276
Gambia	1967	439593	Africa	35.857	734.7829124
Gambia	1972	517101	Africa	38.308	756.0868363
Gambia	1977	608274	Africa	41.842	884.7552507
Gambia	1982	715523	Africa	45.58	835.8096108
Gambia	1987	848406	Africa	49.265	611.6588611
Gambia	1992	1025384	Africa	52.644	665.6244126
Gambia	1997	1235767	Africa	55.861	653.7301704
Gambia	2002	1457766	Africa	58.041	660.5855997
Gambia	2007	1688359	Africa	59.448	752.7497265
Guinea	1952	2664249	Africa	33.609	510.1964923
Guinea	1957	2876726	Africa	34.558	576.2670245
Guinea	1962	3140003	Africa	35.753	686.3736739
Guinea	1967	3451418	Africa	37.197	708.7595409
Guinea	1972	3811387	Africa	38.842	741.6662307
Guinea	1977	4227026	Africa	40.762	874.6858643
Guinea	1982	4710497	Africa	42.891	857.2503577
Guinea	1987	5650262	Africa	45.552	805.5724718
Guinea	1992	6990574	Africa	48.576	794.3484384
Guinea	1997	8048834	Africa	51.455	869.4497668
Guinea	2002	8807818	Africa	53.676	945.5835837
Guinea	2007	9947814	Africa	56.007	942.6542111
Mauritius	1952	516556	Africa	50.986	1967.955707
Mauritius	1957	609816	Africa	58.089	2034.037981
Mauritius	1962	701016	Africa	60.246	2529.067487
Mauritius	1967	789309	Africa	61.557	2475.387562
Mauritius	1972	851334	Africa	62.944	2575.484158
Mauritius	1977	913025	Africa	64.93	3710.982963
Mauritius	1982	992040	Africa	66.711	3688.037739
Mauritius	1987	1042663	Africa	68.74	4783.586903
Mauritius	1992	1096202	Africa	69.745	6058.253846
Mauritius	1997	1149818	Africa	70.736	7425.705295
Mauritius	2002	1200206	Africa	71.954	9021.815894
Mauritius	2007	1250882	Africa	72.801	10956.99112
Reunion	1952	257700	Africa	52.724	2718.885295
Reunion	1957	308700	Africa	55.09	2769.451844
Reunion	1962	358900	Africa	57.666	3173.72334
Reunion	1967	414024	Africa	60.542	4021.175739
Reunion	1972	461633	Africa	64.274	5047.658563
Reunion	1977	492095	Africa	67.064	4319.804067
Reunion	1982	517810	Africa	69.885	5267.219353
Reunion	1987	562035	Africa	71.913	5303.377488
Reunion	1992	622191	Africa	73.615	6101.255823
Reunion	1997	684810	Africa	74.772	6071.941411
Reunion	2002	743981	Africa	75.744	6316.1652
Reunion	2007	798094	Africa	76.442	7670.122558
Sierra Leone	1952	2143249	Africa	30.331	879.7877358
Sierra Leone	1957	2295678	Africa	31.57	1004.484437
Sierra Leone	1962	2467895	Africa	32.767	1116.639877
Sierra Leone	1967	2662190	Africa	34.113	1206.043465
Sierra Leone	1972	2879013	Africa	35.4	1353.759762
Sierra Leone	1977	3140897	Africa	36.788	1348.285159
Sierra Leone	1982	3464522	Africa	38.445	1465.010784
Sierra Leone	1987	3868905	Africa	40.006	1294.447788
Sierra Leone	1992	4260884	Africa	38.333	1068.696278
Sierra Leone	1997	4578212	Africa	39.897	574.6481576
Sierra Leone	2002	5359092	Africa	41.012	699.489713
Sierra Leone	2007	6144562	Africa	42.568	862.5407561
Zimbabwe	1952	3080907	Africa	48.451	406.8841148
Zimbabwe	1957	3646340	Africa	50.469	518.7642681
Zimbabwe	1962	4277736	Africa	52.358	527.2721818
Zimbabwe	1967	4995432	Africa	53.995	569.7950712
Zimbabwe	1972	5861135	Africa	55.635	799.3621758
Zimbabwe	1977	6642107	Africa	57.674	685.5876821
Zimbabwe	1982	7636524	Africa	60.363	788.8550411
Zimbabwe	1987	9216418	Africa	62.351	706.1573059
Zimbabwe	1992	10704340	Africa	60.377	693.4207856
Zimbabwe	1997	11404948	Africa	46.809	792.4499603
Zimbabwe	2002	11926563	Africa	39.989	672.0386227
Zimbabwe	2007	12311143	Africa	43.487	469.7092981
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
